Date,AveragePrice,Total Volume,Total Bags,Small Bags,Large Bags,type
12/27/2015,1.33,64236.62,8696.87,8603.62,93.25,conventional
12/20/2015,1.35,54876.98,9505.56,9408.07,97.49,conventional
12/13/2015,0.93,118220.22,8145.35,8042.21,103.14,conventional
12/6/2015,1.08,78992.15,5811.16,5677.4,133.76,conventional
11/29/2015,1.28,51039.6,6183.95,5986.26,197.69,conventional
11/22/2015,1.26,55979.78,6683.91,6556.47,127.44,conventional
12/25/2016,1.93,1714.92,1387.29,1387.29,0,organic
12/18/2016,1.86,1472.84,1163.43,1163.43,0,organic
12/11/2016,1.9,1886.63,1687.65,1687.65,0,organic
12/4/2016,1.97,1364.73,1165.55,1165.55,0,organic
11/27/2016,1.97,1646.78,1418.94,1418.94,0,organic
11/20/2016,1.93,1862.7,1542.68,1542.68,0,organic
12/27/2015,0.99,386100.49,66354.31,48605.95,17748.36,conventional
12/20/2015,1.08,331377.53,58797.87,46930.26,11867.61,conventional
12/13/2015,0.96,417772.47,61545.31,38903.57,22628.21,conventional
12/6/2015,1.07,357636.82,50690.04,37032.67,13654.66,conventional
11/29/2015,0.99,333280.79,53794.68,33031.72,20738.55,conventional
11/22/2015,1,356414.57,56382.08,36992.3,19389.78,conventional
12/25/2016,1.76,5456.42,1579.56,0,1579.56,organic
12/18/2016,1.19,9420.9,5805.98,5.58,5800.4,organic
12/11/2016,1.06,13253.78,9533.58,78.11,9455.77,organic
12/4/2016,1.22,9990.29,6306.57,20,6286.57,organic
